iter	Logloss
0	0.6491762123
1	0.610473103
2	0.5814121245
3	0.5584445265
4	0.5400475744
5	0.5246000426
6	0.5115955365
7	0.501809615
8	0.4924521238
9	0.485510273
10	0.4782355879
11	0.4728154386
12	0.4688887033
13	0.4653006182
14	0.4616763806
15	0.4585777161
16	0.4560987802
17	0.4539237533
18	0.4519546479
19	0.4497925606
20	0.4478028752
21	0.4462153276
22	0.4449387412
23	0.4435822792
24	0.4424661792
25	0.4412373236
26	0.4402565688
27	0.4393591582
28	0.4383060495
29	0.4375276301
30	0.436660843
31	0.4361024248
32	0.435519451
33	0.4349663553
34	0.4343706631
35	0.4336379214
36	0.4331103886
37	0.432551994
38	0.4321609679
39	0.4315610982
40	0.4312401623
41	0.4308087873
42	0.4303139451
43	0.4298505374
44	0.4294171815
45	0.4289972715
46	0.4286049451
47	0.4284318114
48	0.427987276
49	0.427564657
50	0.4272637265
51	0.4269310937
52	0.4265571328
53	0.4262608989
54	0.4260864435
55	0.4257548154
56	0.4256016839
57	0.4251445845
58	0.4248503291
59	0.4246620838
60	0.4243225097
61	0.4241830434
62	0.4240889357
63	0.4237825708
64	0.4235000196
65	0.4231041253
66	0.4228020226
67	0.422616826
68	0.4223907125
69	0.4221288944
70	0.4219247805
71	0.4217205611
72	0.4215032803
73	0.4213122204
74	0.421032603
75	0.420843838
76	0.4206971783
77	0.4204354467
78	0.4201371686
79	0.4201008318
80	0.4198795219
81	0.419678491
82	0.4195317308
83	0.4194157139
84	0.4190586407
85	0.4188370768
86	0.4185259913
87	0.4183520877
88	0.4181999856
89	0.4179525661
90	0.4177195006
91	0.4175002634
92	0.41731154
93	0.4170506667
94	0.4168690359
95	0.4166152605
96	0.4164168529
97	0.4162929693
98	0.416069623
99	0.415721689
100	0.415396728
101	0.4152546633
102	0.4150083219
103	0.4149223671
104	0.4147813754
105	0.4145080678
106	0.4140954818
107	0.413845153
108	0.4136396411
109	0.4133643837
110	0.4130986804
111	0.4128155836
112	0.412497901
113	0.4121859978
114	0.4118873575
115	0.4116103996
116	0.4113744611
117	0.4112470184
118	0.4109526663
119	0.4107222211
120	0.4104899626
121	0.410264052
122	0.4100963333
123	0.4098388165
124	0.4096306454
125	0.4094220961
126	0.4091884452
127	0.4088826213
128	0.4085718954
129	0.4082855211
130	0.4081130112
131	0.4078799744
132	0.4077158145
133	0.4074808097
134	0.4072759683
135	0.4072111386
136	0.4070017555
137	0.4067778595
138	0.4066102586
139	0.4064167521
140	0.4061110519
141	0.4058558545
142	0.4056293247
143	0.4052573571
144	0.404970391
145	0.4047515176
146	0.4044883117
147	0.4042383998
148	0.404076446
149	0.403829339
150	0.4037006679
151	0.4034206485
152	0.4031533385
153	0.4028860222
154	0.4026806694
155	0.4025776185
156	0.4024201622
157	0.4022777567
158	0.4021347854
159	0.4019272508
160	0.4016999998
161	0.4014665146
162	0.4012691362
163	0.4011152515
164	0.4009064043
165	0.4006067251
166	0.4003865939
167	0.4001347444
168	0.3999320656
169	0.3997175515
170	0.3994637381
171	0.399380859
172	0.3991887514
173	0.3989934557
174	0.3987402264
175	0.3986103532
176	0.3985406617
177	0.3984069287
178	0.3981784745
179	0.3979773483
180	0.3977155386
181	0.3975308169
182	0.3973834711
183	0.3972352174
184	0.3969868925
185	0.3967398937
186	0.396697211
187	0.3965063343
188	0.3963272881
189	0.3962269838
190	0.3959688798
191	0.3956047395
192	0.3954675777
193	0.3953692817
194	0.3950861602
195	0.3948558862
196	0.3946469514
197	0.3944301924
198	0.3941851343
199	0.393965374
200	0.3938036642
201	0.3936835051
202	0.3934617757
203	0.3932406546
204	0.3930014922
205	0.3927962661
206	0.3925356555
207	0.3923289194
208	0.3921556128
209	0.391996912
210	0.3918138709
211	0.3915348672
212	0.3913577184
213	0.3911820102
214	0.3909202372
215	0.3905780429
216	0.3903524758
217	0.3901513134
218	0.3899289416
219	0.3897842269
220	0.3895651848
221	0.3894129481
222	0.3893000222
223	0.3891788681
224	0.3889396709
225	0.3887357831
226	0.3884460375
227	0.3883782032
228	0.3883153185
229	0.3880828386
230	0.3879581491
231	0.3877832698
232	0.3874950248
233	0.3873096256
234	0.3870579539
