iter	Passed	Remaining
0	173	173313
1	188	93860
2	204	67929
3	220	54830
4	236	47098
5	253	41969
6	267	37955
7	283	35143
8	297	32784
9	311	30844
10	325	29300
11	339	27950
12	354	26897
13	368	25972
14	384	25253
15	403	24800
16	419	24262
17	434	23698
18	448	23182
19	463	22734
20	479	22343
21	494	21988
22	510	21698
23	525	21350
24	538	21001
25	553	20741
26	570	20572
27	588	20415
28	602	20188
29	616	19941
30	632	19771
31	647	19577
32	663	19434
33	680	19346
34	694	19159
35	710	19020
36	724	18864
37	739	18727
38	752	18547
39	766	18391
40	780	18248
41	794	18116
42	808	18000
43	826	17967
44	843	17896
45	858	17803
46	873	17719
47	888	17621
48	903	17541
49	918	17454
50	931	17337
51	945	17238
52	959	17142
53	976	17114
54	993	17074
55	1009	17024
56	1024	16941
57	1038	16861
58	1051	16777
59	1065	16699
60	1079	16613
61	1093	16547
62	1107	16476
63	1122	16415
64	1136	16350
65	1150	16286
66	1165	16235
67	1180	16185
68	1194	16112
69	1206	16023
70	1220	15973
71	1236	15932
72	1250	15883
73	1263	15808
74	1277	15751
75	1290	15684
76	1303	15625
77	1317	15579
78	1332	15540
79	1346	15486
80	1361	15443
81	1373	15376
82	1388	15339
83	1403	15300
84	1418	15271
85	1432	15228
86	1446	15179
87	1460	15133
88	1473	15086
89	1486	15031
90	1501	14999
91	1515	14961
92	1530	14926
93	1545	14898
94	1559	14856
95	1573	14815
96	1589	14797
97	1604	14767
98	1618	14729
99	1633	14702
100	1648	14669
101	1661	14629
102	1678	14613
103	1692	14578
104	1706	14543
105	1720	14511
106	1735	14482
107	1748	14437
108	1761	14397
109	1774	14360
110	1790	14341
111	1807	14327
112	1821	14296
113	1836	14269
114	1849	14234
115	1861	14187
116	1875	14157
117	1890	14127
118	1904	14098
119	1919	14073
120	1934	14056
121	1950	14035
122	1963	13996
123	1976	13960
124	1990	13936
125	2006	13920
126	2020	13889
127	2033	13852
128	2050	13847
129	2065	13822
130	2079	13797
131	2093	13766
132	2106	13730
133	2120	13705
134	2134	13676
135	2148	13646
136	2161	13617
137	2175	13588
138	2188	13558
139	2205	13546
140	2220	13525
141	2234	13499
142	2251	13490
143	2266	13475
144	2283	13464
145	2299	13452
146	2316	13439
147	2331	13421
148	2349	13416
149	2363	13395
150	2378	13373
151	2393	13354
152	2406	13324
153	2421	13300
154	2433	13268
155	2447	13243
156	2463	13224
157	2477	13204
158	2495	13201
159	2510	13182
160	2526	13164
161	2542	13150
162	2557	13133
163	2572	13113
164	2585	13086
165	2599	13058
166	2615	13045
167	2631	13031
168	2646	13013
169	2662	12999
170	2676	12977
171	2689	12946
172	2704	12928
173	2719	12908
174	2733	12886
175	2746	12859
176	2759	12831
177	2773	12806
178	2787	12787
179	2803	12771
180	2818	12754
181	2833	12736
182	2846	12706
183	2859	12680
184	2875	12668
185	2890	12649
186	2903	12624
187	2919	12610
188	2934	12589
189	2948	12569
190	2963	12550
191	2976	12525
192	2990	12504
193	3003	12480
194	3018	12461
195	3036	12454
196	3062	12484
197	3079	12475
198	3097	12469
199	3116	12467
200	3135	12465
201	3154	12460
202	3171	12452
203	3190	12448
204	3206	12433
205	3225	12432
206	3243	12425
207	3262	12423
208	3284	12429
209	3299	12411
210	3313	12390
211	3327	12369
212	3342	12348
213	3357	12330
214	3372	12312
215	3385	12287
216	3399	12266
217	3413	12244
218	3429	12230
219	3458	12262
220	3479	12263
221	3496	12253
222	3511	12235
223	3528	12223
224	3544	12208
225	3559	12190
226	3575	12176
227	3589	12153
228	3604	12134
229	3618	12115
230	3632	12093
